hour,hour_scaled,temperature,humidity,wind_speed,working_day,rental_count,target_scaled
8,0.34782608695652173,0.4,0.71,0.2239,0,8,0.008
9,0.391304347826087,0.38,0.76,0.2239,0,20,0.02
10,0.43478260869565216,0.36,0.81,0.2239,0,53,0.053
11,0.4782608695652174,0.36,0.71,0.2537,0,70,0.07
12,0.5217391304347826,0.36,0.66,0.2985,0,93,0.093
13,0.5652173913043478,0.36,0.66,0.1343,0,75,0.075
14,0.6086956521739131,0.36,0.76,0.194,0,59,0.059
15,0.6521739130434783,0.34,0.81,0.1642,0,74,0.074
16,0.6956521739130435,0.34,0.71,0.1642,0,76,0.076
17,0.7391304347826086,0.34,0.57,0.194,0,65,0.065
18,0.782608695652174,0.36,0.46,0.3284,0,53,0.053
19,0.8260869565217391,0.32,0.42,0.4478,0,30,0.03
20,0.8695652173913043,0.3,0.39,0.3582,0,22,0.022
21,0.9130434782608695,0.26,0.44,0.3284,0,31,0.031
22,0.9565217391304348,0.24,0.44,0.2985,0,9,0.009
23,1.0,0.22,0.47,0.1642,0,8,0.008
0,0.0,0.22,0.44,0.3582,1,5,0.005
1,0.043478260869565216,0.2,0.44,0.4179,1,2,0.002
4,0.17391304347826086,0.16,0.47,0.3881,1,1,0.001
5,0.21739130434782608,0.16,0.47,0.2836,1,3,0.003
6,0.2608695652173913,0.14,0.5,0.3881,1,30,0.03
7,0.30434782608695654,0.14,0.5,0.194,1,64,0.064
8,0.34782608695652173,0.14,0.5,0.2836,1,154,0.154
9,0.391304347826087,0.16,0.43,0.3881,1,88,0.088
10,0.43478260869565216,0.18,0.43,0.2537,1,44,0.044
11,0.4782608695652174,0.2,0.4,0.3284,1,51,0.051
12,0.5217391304347826,0.22,0.35,0.2985,1,61,0.061
13,0.5652173913043478,0.24,0.35,0.2836,1,61,0.061
14,0.6086956521739131,0.26,0.3,0.2836,1,77,0.077
15,0.6521739130434783,0.26,0.3,0.2537,1,72,0.072
16,0.6956521739130435,0.26,0.3,0.2537,1,76,0.076
17,0.7391304347826086,0.24,0.3,0.2239,1,157,0.157
18,0.782608695652174,0.24,0.32,0.1045,1,157,0.157
19,0.8260869565217391,0.2,0.47,0,1,110,0.11
20,0.8695652173913043,0.2,0.47,0.1045,1,52,0.052
21,0.9130434782608695,0.18,0.64,0.1343,1,52,0.052
22,0.9565217391304348,0.14,0.69,0.1343,1,20,0.02
23,1.0,0.18,0.55,0.1045,1,12,0.012
0,0.0,0.16,0.55,0.1045,1,5,0.005
1,0.043478260869565216,0.16,0.59,0.1045,1,2,0.002
2,0.08695652173913043,0.14,0.63,0.1343,1,1,0.001
4,0.17391304347826086,0.14,0.63,0.0896,1,2,0.002
5,0.21739130434782608,0.12,0.68,0.1045,1,4,0.004
6,0.2608695652173913,0.12,0.74,0.1045,1,36,0.036
7,0.30434782608695654,0.12,0.74,0.1343,1,94,0.094
8,0.34782608695652173,0.14,0.69,0.1642,1,179,0.179
9,0.391304347826087,0.16,0.64,0.2239,1,100,0.1
10,0.43478260869565216,0.16,0.69,0.3284,1,42,0.042
11,0.4782608695652174,0.22,0.51,0.2985,1,57,0.057
12,0.5217391304347826,0.22,0.51,0.1642,1,78,0.078
13,0.5652173913043478,0.24,0.56,0.194,1,97,0.097
14,0.6086956521739131,0.26,0.52,0.2239,1,63,0.063
15,0.6521739130434783,0.28,0.52,0.2537,1,65,0.065
16,0.6956521739130435,0.3,0.49,0.2537,1,83,0.083
17,0.7391304347826086,0.28,0.48,0.2239,1,212,0.212
18,0.782608695652174,0.26,0.48,0.194,1,182,0.182
19,0.8260869565217391,0.24,0.48,0.1045,1,112,0.112
20,0.8695652173913043,0.24,0.48,0.1045,1,54,0.054
21,0.9130434782608695,0.22,0.64,0,1,48,0.048
22,0.9565217391304348,0.22,0.64,0.0896,1,35,0.035
23,1.0,0.2,0.69,0.0896,1,11,0.011
0,0.0,0.2,0.64,0,1,6,0.006
1,0.043478260869565216,0.16,0.74,0.0896,1,6,0.006
2,0.08695652173913043,0.16,0.74,0.0896,1,2,0.002
4,0.17391304347826086,0.24,0.48,0.2239,1,2,0.002
5,0.21739130434782608,0.22,0.47,0.1642,1,3,0.003
6,0.2608695652173913,0.2,0.47,0.2239,1,33,0.033
7,0.30434782608695654,0.18,0.43,0.194,1,88,0.088
8,0.34782608695652173,0.2,0.4,0.2985,1,195,0.195
9,0.391304347826087,0.22,0.37,0.3284,1,115,0.115
10,0.43478260869565216,0.22,0.37,0.3284,1,57,0.057
11,0.4782608695652174,0.26,0.33,0.3284,1,46,0.046
12,0.5217391304347826,0.26,0.33,0.3284,1,79,0.079
13,0.5652173913043478,0.28,0.3,0.2985,1,71,0.071
14,0.6086956521739131,0.3,0.28,0.194,1,62,0.062
15,0.6521739130434783,0.3,0.28,0.194,1,62,0.062
16,0.6956521739130435,0.3,0.28,0.0896,1,89,0.089
17,0.7391304347826086,0.24,0.38,0.194,1,190,0.19
18,0.782608695652174,0.24,0.38,0.1343,1,169,0.169
19,0.8260869565217391,0.24,0.38,0.1045,1,132,0.132
20,0.8695652173913043,0.22,0.47,0.1642,1,89,0.089
21,0.9130434782608695,0.2,0.51,0.194,1,43,0.043
22,0.9565217391304348,0.18,0.55,0.1343,1,42,0.042
23,1.0,0.2,0.47,0,1,19,0.019
0,0.0,0.18,0.55,0,1,11,0.011
1,0.043478260869565216,0.16,0.64,0,1,4,0.004
2,0.08695652173913043,0.16,0.64,0,1,2,0.002
4,0.17391304347826086,0.16,0.64,0.0896,1,1,0.001
5,0.21739130434782608,0.14,0.69,0.0896,1,4,0.004
6,0.2608695652173913,0.14,0.63,0.1045,1,36,0.036
7,0.30434782608695654,0.16,0.59,0,1,95,0.095
8,0.34782608695652173,0.16,0.59,0,1,219,0.219
9,0.391304347826087,0.18,0.51,0,1,122,0.122
10,0.43478260869565216,0.2,0.47,0,1,45,0.045
11,0.4782608695652174,0.22,0.44,0.0896,1,59,0.059
12,0.5217391304347826,0.26,0.35,0,1,84,0.084
13,0.5652173913043478,0.26,0.35,0.1045,1,67,0.067
14,0.6086956521739131,0.28,0.36,0.1642,1,70,0.07
15,0.6521739130434783,0.28,0.36,0,1,62,0.062
16,0.6956521739130435,0.26,0.38,0.1642,1,86,0.086
17,0.7391304347826086,0.22,0.51,0.1642,1,172,0.172
18,0.782608695652174,0.22,0.51,0.1343,1,163,0.163
19,0.8260869565217391,0.22,0.55,0.0896,1,112,0.112
20,0.8695652173913043,0.2,0.51,0.1642,1,69,0.069
21,0.9130434782608695,0.22,0.55,0.2239,1,48,0.048
22,0.9565217391304348,0.22,0.51,0.2836,1,52,0.052
23,1.0,0.2,0.59,0.194,1,23,0.023
0,0.0,0.2,0.64,0.194,1,17,0.017
1,0.043478260869565216,0.2,0.69,0.2239,1,7,0.007
2,0.08695652173913043,0.2,0.69,0.2239,1,1,0.001
4,0.17391304347826086,0.2,0.69,0.1343,1,1,0.001
5,0.21739130434782608,0.22,0.55,0,1,5,0.005
6,0.2608695652173913,0.2,0.69,0,1,34,0.034
7,0.30434782608695654,0.2,0.69,0.1343,1,84,0.084
8,0.34782608695652173,0.2,0.51,0.2537,1,210,0.21
9,0.391304347826087,0.2,0.47,0.2985,1,134,0.134
10,0.43478260869565216,0.22,0.37,0.3284,1,63,0.063
11,0.4782608695652174,0.2,0.4,0.2239,1,67,0.067
12,0.5217391304347826,0.2,0.37,0.2537,1,59,0.059
13,0.5652173913043478,0.2,0.37,0.2836,1,73,0.073
14,0.6086956521739131,0.2,0.4,0.2537,1,50,0.05
15,0.6521739130434783,0.2,0.37,0.1642,1,72,0.072
16,0.6956521739130435,0.2,0.37,0.1642,1,87,0.087
17,0.7391304347826086,0.2,0.37,0,1,187,0.187
18,0.782608695652174,0.2,0.4,0.0896,1,123,0.123
19,0.8260869565217391,0.16,0.55,0.0896,1,95,0.095
20,0.8695652173913043,0.18,0.47,0.1045,1,51,0.051
21,0.9130434782608695,0.18,0.47,0.1343,1,39,0.039
22,0.9565217391304348,0.18,0.43,0.1642,1,36,0.036
23,1.0,0.18,0.51,0.1642,1,15,0.015
0,0.0,0.18,0.51,0.1642,0,25,0.025
1,0.043478260869565216,0.18,0.55,0.0896,0,16,0.016
2,0.08695652173913043,0.18,0.55,0,0,16,0.016
3,0.13043478260869565,0.18,0.55,0.1642,0,7,0.007
4,0.17391304347826086,0.18,0.55,0.1642,0,1,0.001
5,0.21739130434782608,0.16,0.74,0.1642,0,5,0.005
6,0.2608695652173913,0.16,0.74,0.1642,0,2,0.002
7,0.30434782608695654,0.16,0.74,0.1045,0,9,0.009
8,0.34782608695652173,0.16,0.93,0.1045,0,15,0.015
9,0.391304347826087,0.16,0.93,0.1045,0,20,0.02
10,0.43478260869565216,0.18,0.8,0.1642,0,61,0.061
11,0.4782608695652174,0.2,0.69,0.3881,0,62,0.062
12,0.5217391304347826,0.2,0.59,0.3582,0,98,0.098
13,0.5652173913043478,0.2,0.44,0.3284,0,102,0.102
14,0.6086956521739131,0.2,0.32,0.4925,0,95,0.095
15,0.6521739130434783,0.2,0.32,0.4478,0,74,0.074
16,0.6956521739130435,0.18,0.29,0.4478,0,76,0.076
17,0.7391304347826086,0.16,0.37,0.5522,0,69,0.069
18,0.782608695652174,0.14,0.39,0.2985,0,55,0.055
19,0.8260869565217391,0.14,0.36,0.2537,0,30,0.03
20,0.8695652173913043,0.12,0.36,0.2537,0,28,0.028
21,0.9130434782608695,0.12,0.39,0.3582,0,37,0.037
22,0.9565217391304348,0.12,0.36,0.3881,0,34,0.034
23,1.0,0.1,0.39,0.4478,0,22,0.022
0,0.0,0.1,0.42,0.3881,0,25,0.025
1,0.043478260869565216,0.1,0.42,0.4627,0,12,0.012
2,0.08695652173913043,0.1,0.46,0.4627,0,11,0.011
3,0.13043478260869565,0.1,0.46,0.4179,0,4,0.004
4,0.17391304347826086,0.08,0.53,0.194,0,1,0.001
5,0.21739130434782608,0.08,0.53,0.194,0,1,0.001
6,0.2608695652173913,0.1,0.49,0.2836,0,1,0.001
7,0.30434782608695654,0.08,0.53,0.194,0,6,0.006
8,0.34782608695652173,0.1,0.49,0.2836,0,10,0.01
9,0.391304347826087,0.12,0.46,0.5224,0,19,0.019
10,0.43478260869565216,0.14,0.43,0.3881,0,49,0.049
11,0.4782608695652174,0.16,0.4,0.5224,0,49,0.049
12,0.5217391304347826,0.18,0.37,0.4478,0,83,0.083
13,0.5652173913043478,0.2,0.34,0.4478,0,75,0.075
14,0.6086956521739131,0.22,0.32,0.4627,0,72,0.072
15,0.6521739130434783,0.22,0.35,0.3582,0,82,0.082
16,0.6956521739130435,0.2,0.34,0.4478,0,92,0.092
17,0.7391304347826086,0.18,0.37,0.3881,0,62,0.062
18,0.782608695652174,0.16,0.4,0.3284,0,48,0.048
19,0.8260869565217391,0.16,0.43,0.3284,0,41,0.041
20,0.8695652173913043,0.14,0.46,0.2537,0,38,0.038
21,0.9130434782608695,0.14,0.46,0.4179,0,20,0.02
22,0.9565217391304348,0.14,0.46,0.2985,0,15,0.015
23,1.0,0.12,0.5,0.194,0,6,0.006
0,0.0,0.12,0.5,0.2836,1,5,0.005
1,0.043478260869565216,0.12,0.5,0.2836,1,1,0.001
2,0.08695652173913043,0.12,0.5,0.2239,1,3,0.003
3,0.13043478260869565,0.12,0.5,0.2239,1,1,0.001
4,0.17391304347826086,0.1,0.54,0.1343,1,3,0.003
5,0.21739130434782608,0.1,0.54,0.2537,1,3,0.003
6,0.2608695652173913,0.12,0.5,0.2836,1,31,0.031
7,0.30434782608695654,0.12,0.5,0.2239,1,77,0.077
8,0.34782608695652173,0.12,0.5,0.2836,1,188,0.188
9,0.391304347826087,0.14,0.5,0.2537,1,94,0.094
10,0.43478260869565216,0.14,0.5,0.2985,1,31,0.031
11,0.4782608695652174,0.16,0.47,0.2836,1,30,0.03
12,0.5217391304347826,0.2,0.4,0.2836,1,52,0.052
13,0.5652173913043478,0.2,0.4,0.2836,1,54,0.054
14,0.6086956521739131,0.2,0.4,0.2239,1,47,0.047
15,0.6521739130434783,0.2,0.4,0.2239,1,45,0.045
16,0.6956521739130435,0.2,0.4,0.1343,1,74,0.074
17,0.7391304347826086,0.2,0.4,0.1045,1,178,0.178
18,0.782608695652174,0.2,0.4,0.2239,1,155,0.155
19,0.8260869565217391,0.16,0.47,0.1642,1,95,0.095
20,0.8695652173913043,0.16,0.5,0.1642,1,74,0.074
21,0.9130434782608695,0.14,0.59,0.194,1,38,0.038
22,0.9565217391304348,0.14,0.59,0.1642,1,24,0.024
23,1.0,0.14,0.59,0.1642,1,18,0.018
0,0.0,0.14,0.59,0.1045,1,12,0.012
1,0.043478260869565216,0.14,0.59,0.1642,1,3,0.003
2,0.08695652173913043,0.16,0.55,0.194,1,3,0.003
5,0.21739130434782608,0.16,0.55,0.1343,1,6,0.006
6,0.2608695652173913,0.16,0.55,0.1343,1,27,0.027
7,0.30434782608695654,0.16,0.55,0,1,99,0.099
8,0.34782608695652173,0.18,0.51,0.0896,1,217,0.217
9,0.391304347826087,0.18,0.51,0.1642,1,130,0.13
10,0.43478260869565216,0.2,0.51,0.1642,1,54,0.054
11,0.4782608695652174,0.2,0.47,0.1343,1,35,0.035
12,0.5217391304347826,0.2,0.51,0.1045,1,57,0.057
13,0.5652173913043478,0.2,0.59,0.0896,1,52,0.052
14,0.6086956521739131,0.2,0.59,0.0896,1,63,0.063
15,0.6521739130434783,0.16,0.8,0.0896,1,47,0.047
16,0.6956521739130435,0.16,0.86,0.2239,1,76,0.076
17,0.7391304347826086,0.16,0.86,0.2239,1,136,0.136
18,0.782608695652174,0.16,0.93,0.1045,1,95,0.095
19,0.8260869565217391,0.16,0.93,0,1,51,0.051
20,0.8695652173913043,0.16,0.93,0.194,1,32,0.032
21,0.9130434782608695,0.16,0.86,0.0896,1,20,0.02
22,0.9565217391304348,0.16,0.93,0.1045,1,29,0.029
23,1.0,0.16,0.93,0.0896,1,19,0.019
0,0.0,0.16,0.86,0.0896,1,7,0.007
1,0.043478260869565216,0.16,0.86,0.1045,1,6,0.006
2,0.08695652173913043,0.14,0.86,0.1343,1,1,0.001
5,0.21739130434782608,0.14,0.86,0.1642,1,5,0.005
6,0.2608695652173913,0.12,0.93,0.1343,1,16,0.016
7,0.30434782608695654,0.14,0.69,0.1343,1,54,0.054
8,0.34782608695652173,0.16,0.59,0.1642,1,128,0.128
9,0.391304347826087,0.16,0.59,0.3284,1,81,0.081
10,0.43478260869565216,0.18,0.55,0.2239,1,39,0.039
11,0.4782608695652174,0.2,0.51,0.3881,1,35,0.035
12,0.5217391304347826,0.2,0.47,0.5821,1,55,0.055
13,0.5652173913043478,0.22,0.44,0.3582,1,49,0.049
14,0.6086956521739131,0.2,0.47,0.3284,1,44,0.044
15,0.6521739130434783,0.2,0.47,0.4179,1,49,0.049
16,0.6956521739130435,0.22,0.44,0.3284,1,68,0.068
17,0.7391304347826086,0.2,0.47,0.3582,1,139,0.139
18,0.782608695652174,0.2,0.47,0.5224,1,137,0.137
19,0.8260869565217391,0.18,0.47,0.4179,1,83,0.083
20,0.8695652173913043,0.16,0.5,0.3284,1,56,0.056
21,0.9130434782608695,0.16,0.55,0.3284,1,57,0.057
22,0.9565217391304348,0.16,0.55,0.4478,1,33,0.033
23,1.0,0.14,0.59,0.4179,1,20,0.02
0,0.0,0.14,0.59,0.2836,1,7,0.007
1,0.043478260869565216,0.14,0.5,0.2836,1,2,0.002
2,0.08695652173913043,0.14,0.5,0.3582,1,2,0.002
3,0.13043478260869565,0.14,0.5,0.3284,1,3,0.003
4,0.17391304347826086,0.14,0.5,0.2537,1,4,0.004
5,0.21739130434782608,0.14,0.5,0.2985,1,3,0.003
6,0.2608695652173913,0.12,0.54,0.1343,1,28,0.028
7,0.30434782608695654,0.12,0.54,0.1343,1,72,0.072
8,0.34782608695652173,0.14,0.5,0.194,1,202,0.202
9,0.391304347826087,0.14,0.5,0.3284,1,139,0.139
10,0.43478260869565216,0.16,0.5,0.3582,1,38,0.038
11,0.4782608695652174,0.2,0.44,0.4478,1,37,0.037
12,0.5217391304347826,0.2,0.44,0.4179,1,52,0.052
13,0.5652173913043478,0.22,0.41,0.4478,1,83,0.083
14,0.6086956521739131,0.22,0.41,0.3881,1,42,0.042
15,0.6521739130434783,0.24,0.38,0.2985,1,60,0.06
16,0.6956521739130435,0.24,0.38,0.3582,1,78,0.078
17,0.7391304347826086,0.2,0.4,0.2836,1,162,0.162
18,0.782608695652174,0.2,0.4,0.3284,1,144,0.144
19,0.8260869565217391,0.16,0.47,0.2537,1,99,0.099
20,0.8695652173913043,0.16,0.47,0.2239,1,64,0.064
21,0.9130434782608695,0.14,0.46,0.2985,1,40,0.04
22,0.9565217391304348,0.14,0.46,0.3284,1,30,0.03
23,1.0,0.12,0.5,0.194,1,15,0.015
0,0.0,0.12,0.5,0.194,1,14,0.014
1,0.043478260869565216,0.1,0.54,0.1642,1,5,0.005
2,0.08695652173913043,0.1,0.54,0.1343,1,1,0.001
3,0.13043478260869565,0.1,0.54,0.1045,1,1,0.001
5,0.21739130434782608,0.1,0.54,0.0896,1,8,0.008
6,0.2608695652173913,0.1,0.54,0,1,17,0.017
7,0.30434782608695654,0.1,0.74,0.1642,1,70,0.07
8,0.34782608695652173,0.12,0.68,0,1,158,0.158
9,0.391304347826087,0.14,0.69,0.1343,1,117,0.117
10,0.43478260869565216,0.18,0.55,0.194,1,44,0.044
11,0.4782608695652174,0.18,0.51,0.2836,1,53,0.053
12,0.5217391304347826,0.2,0.44,0.2537,1,61,0.061
13,0.5652173913043478,0.22,0.37,0.3881,1,77,0.077
14,0.6086956521739131,0.22,0.41,0.2836,1,64,0.064
15,0.6521739130434783,0.24,0.38,0.1642,1,68,0.068
16,0.6956521739130435,0.22,0.41,0.1045,1,90,0.09
17,0.7391304347826086,0.22,0.41,0.1642,1,159,0.159
18,0.782608695652174,0.2,0.47,0,1,139,0.139
19,0.8260869565217391,0.16,0.59,0.0896,1,92,0.092
20,0.8695652173913043,0.18,0.59,0,1,68,0.068
21,0.9130434782608695,0.16,0.69,0,1,52,0.052
22,0.9565217391304348,0.16,0.69,0,1,36,0.036
23,1.0,0.18,0.55,0,1,27,0.027
0,0.0,0.18,0.55,0,0,28,0.028
1,0.043478260869565216,0.16,0.59,0.0896,0,20,0.02
2,0.08695652173913043,0.16,0.59,0.0896,0,12,0.012
3,0.13043478260869565,0.16,0.59,0,0,8,0.008
4,0.17391304347826086,0.16,0.59,0,0,5,0.005
5,0.21739130434782608,0.16,0.59,0,0,1,0.001
6,0.2608695652173913,0.14,0.63,0.1045,0,3,0.003
7,0.30434782608695654,0.14,0.63,0,0,10,0.01
8,0.34782608695652173,0.14,0.63,0.1343,0,23,0.023
9,0.391304347826087,0.16,0.64,0.1343,0,33,0.033
10,0.43478260869565216,0.18,0.59,0.1642,0,59,0.059
11,0.4782608695652174,0.2,0.55,0.2239,0,72,0.072
12,0.5217391304347826,0.24,0.48,0.2239,0,89,0.089
13,0.5652173913043478,0.28,0.38,0.2985,0,101,0.101
14,0.6086956521739131,0.3,0.39,0.2836,0,118,0.118
15,0.6521739130434783,0.32,0.36,0.194,0,129,0.129
16,0.6956521739130435,0.34,0.34,0.194,0,128,0.128
17,0.7391304347826086,0.32,0.36,0.2836,0,83,0.083
18,0.782608695652174,0.3,0.45,0.2537,0,84,0.084
19,0.8260869565217391,0.32,0.39,0.2537,0,74,0.074
20,0.8695652173913043,0.32,0.39,0.2537,0,41,0.041
21,0.9130434782608695,0.32,0.39,0.2239,0,57,0.057
22,0.9565217391304348,0.3,0.42,0.1045,0,26,0.026
23,1.0,0.3,0.45,0.2836,0,44,0.044
0,0.0,0.26,0.56,0,0,39,0.039
1,0.043478260869565216,0.26,0.56,0.1343,0,23,0.023
2,0.08695652173913043,0.26,0.56,0.0896,0,16,0.016
3,0.13043478260869565,0.22,0.69,0,0,15,0.015
4,0.17391304347826086,0.26,0.56,0.1642,0,1,0.001
5,0.21739130434782608,0.26,0.56,0.1642,0,2,0.002
6,0.2608695652173913,0.26,0.56,0.1642,0,1,0.001
7,0.30434782608695654,0.24,0.56,0.2985,0,3,0.003
8,0.34782608695652173,0.22,0.55,0.2836,0,18,0.018
9,0.391304347826087,0.22,0.51,0.2537,0,32,0.032
10,0.43478260869565216,0.22,0.51,0.2836,0,79,0.079
11,0.4782608695652174,0.24,0.44,0.2537,0,93,0.093
12,0.5217391304347826,0.24,0.41,0.2836,0,104,0.104
13,0.5652173913043478,0.26,0.35,0.2985,0,118,0.118
14,0.6086956521739131,0.28,0.36,0.2537,0,91,0.091
15,0.6521739130434783,0.26,0.38,0.2537,0,113,0.113
16,0.6956521739130435,0.24,0.38,0.2239,0,99,0.099
17,0.7391304347826086,0.22,0.37,0.2537,0,105,0.105
18,0.782608695652174,0.2,0.4,0.1642,0,67,0.067
19,0.8260869565217391,0.18,0.47,0.1343,0,61,0.061
20,0.8695652173913043,0.18,0.47,0.1642,0,57,0.057
21,0.9130434782608695,0.18,0.51,0.1642,0,28,0.028
22,0.9565217391304348,0.2,0.49,0.1343,0,21,0.021
23,1.0,0.2,0.4,0.1045,0,18,0.018
0,0.0,0.2,0.47,0.2239,0,17,0.017
1,0.043478260869565216,0.2,0.44,0.194,0,16,0.016
2,0.08695652173913043,0.18,0.43,0.2537,0,8,0.008
3,0.13043478260869565,0.18,0.43,0.194,0,2,0.002
4,0.17391304347826086,0.18,0.43,0.1343,0,3,0.003
5,0.21739130434782608,0.18,0.43,0.1642,0,1,0.001
6,0.2608695652173913,0.18,0.43,0.194,0,5,0.005
7,0.30434782608695654,0.16,0.5,0.1343,0,13,0.013
8,0.34782608695652173,0.16,0.47,0.2239,0,33,0.033
9,0.391304347826087,0.16,0.47,0.2239,0,47,0.047
10,0.43478260869565216,0.16,0.5,0.2537,0,57,0.057
11,0.4782608695652174,0.16,0.55,0.194,0,64,0.064
12,0.5217391304347826,0.18,0.47,0.1343,0,80,0.08
13,0.5652173913043478,0.18,0.47,0.1343,0,93,0.093
14,0.6086956521739131,0.18,0.43,0.1045,0,86,0.086
15,0.6521739130434783,0.2,0.47,0.1642,0,93,0.093
16,0.6956521739130435,0.2,0.47,0.1642,0,82,0.082
17,0.7391304347826086,0.2,0.51,0.194,0,71,0.071
18,0.782608695652174,0.18,0.55,0.2537,0,92,0.092
19,0.8260869565217391,0.18,0.59,0.194,0,60,0.06
20,0.8695652173913043,0.16,0.8,0.194,0,33,0.033
21,0.9130434782608695,0.16,0.8,0.194,0,27,0.027
22,0.9565217391304348,0.14,0.93,0.2537,0,13,0.013
23,1.0,0.16,0.86,0.2836,0,4,0.004
12,0.5217391304347826,0.2,0.86,0.3284,1,3,0.003
13,0.5652173913043478,0.2,0.86,0.2239,1,22,0.022
14,0.6086956521739131,0.22,0.8,0.1642,1,28,0.028
15,0.6521739130434783,0.22,0.87,0.1642,1,35,0.035
16,0.6956521739130435,0.22,0.87,0.194,1,61,0.061
17,0.7391304347826086,0.22,0.82,0.194,1,125,0.125
18,0.782608695652174,0.22,0.8,0.1642,1,133,0.133
19,0.8260869565217391,0.22,0.8,0.1343,1,99,0.099
20,0.8695652173913043,0.22,0.87,0,1,83,0.083
21,0.9130434782608695,0.22,0.93,0.1045,1,41,0.041
22,0.9565217391304348,0.22,0.93,0.0896,1,33,0.033
23,1.0,0.22,0.93,0,1,20,0.02
0,0.0,0.22,0.93,0,1,3,0.003
1,0.043478260869565216,0.22,0.93,0.1343,1,7,0.007
2,0.08695652173913043,0.22,0.93,0.1343,1,3,0.003
4,0.17391304347826086,0.22,0.93,0.1343,1,2,0.002
5,0.21739130434782608,0.22,0.93,0.0896,1,7,0.007
6,0.2608695652173913,0.22,0.93,0.0896,1,32,0.032
7,0.30434782608695654,0.24,0.92,0.1045,1,90,0.09
8,0.34782608695652173,0.24,0.93,0.1045,1,197,0.197
9,0.391304347826087,0.24,0.93,0.1045,1,109,0.109
10,0.43478260869565216,0.26,0.93,0.1343,1,47,0.047
11,0.4782608695652174,0.28,0.87,0.0896,1,52,0.052
12,0.5217391304347826,0.3,0.81,0.0896,1,70,0.07
13,0.5652173913043478,0.4,0.62,0.2836,1,78,0.078
14,0.6086956521739131,0.4,0.58,0.2537,1,75,0.075
15,0.6521739130434783,0.4,0.54,0.2836,1,82,0.082
16,0.6956521739130435,0.38,0.58,0.3881,1,104,0.104
17,0.7391304347826086,0.36,0.57,0.3284,1,197,0.197
18,0.782608695652174,0.34,0.61,0.2836,1,161,0.161
19,0.8260869565217391,0.32,0.57,0.4179,1,112,0.112
20,0.8695652173913043,0.32,0.49,0.2985,1,76,0.076
21,0.9130434782608695,0.32,0.49,0.4179,1,59,0.059
22,0.9565217391304348,0.3,0.52,0.1642,1,59,0.059
23,1.0,0.3,0.52,0.4627,1,28,0.028
0,0.0,0.26,0.56,0.3881,1,13,0.013
1,0.043478260869565216,0.26,0.56,0,1,5,0.005
2,0.08695652173913043,0.26,0.56,0,1,2,0.002
3,0.13043478260869565,0.26,0.56,0.1642,1,1,0.001
4,0.17391304347826086,0.26,0.56,0.1642,1,1,0.001
5,0.21739130434782608,0.24,0.6,0.2239,1,6,0.006
6,0.2608695652173913,0.22,0.6,0.2239,1,35,0.035
7,0.30434782608695654,0.22,0.55,0.2239,1,101,0.101
8,0.34782608695652173,0.22,0.55,0.2836,1,249,0.249
9,0.391304347826087,0.24,0.52,0.2239,1,143,0.143
10,0.43478260869565216,0.26,0.48,0.2985,1,57,0.057
11,0.4782608695652174,0.28,0.45,0.1642,1,68,0.068
12,0.5217391304347826,0.3,0.42,0,1,84,0.084
13,0.5652173913043478,0.28,0.45,0.1045,1,98,0.098
14,0.6086956521739131,0.3,0.45,0.1343,1,81,0.081
15,0.6521739130434783,0.32,0.45,0.194,1,70,0.07
16,0.6956521739130435,0.3,0.49,0.1343,1,91,0.091
